timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content
06/12/2020 22:50:00;06/12/2020;22:50:00;1.7278617710583153;157.5;996.9;85.0;;6.8;0.93;;;33.909287257019436;5.7;;;;;;;;;;;;;;;;;;;;;;;;;
06/12/2020 23:20:00;06/12/2020;23:20:00;1.7278617710583153;292.5;997.6;85.0;;6.4;0.94;;;33.909287257019436;5.5;;;;;;;;;;;;;;;;;;;;;;;;;
06/12/2020 23:50:00;06/12/2020;23:50:00;0.0;135;997.5;85.0;;5.9;0.94;;;33.909287257019436;5.0;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 00:23:00;07/12/2020;00:23:00;0.0;135;997.8;0.0;;5.8;0.94;;;1.7278617710583153;4.9;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 00:53:00;07/12/2020;00:53:00;2.537796976241901;0;998.4;0.0;;5.3;0.94;;;5.237580993520518;4.4;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 01:24:00;07/12/2020;01:24:00;3.509719222462203;67.5;999.2;0.0;;5.0;0.94;;;7.019438444924406;4.1;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 01:54:00;07/12/2020;01:54:00;0.0;90;999.8;0.0;;5.0;0.95;;;7.019438444924406;4.3;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 02:23:00;07/12/2020;02:23:00;0.7559395248380129;45;1000.3;0.0;;4.9;0.95;;;7.019438444924406;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 02:53:00;07/12/2020;02:53:00;0.0;45;1000.8;0.0;;4.9;0.95;;;7.019438444924406;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 03:23:00;07/12/2020;03:23:00;0.0;45;1001.2;0.0;;4.8;0.95;;;7.019438444924406;4.1;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 03:53:00;07/12/2020;03:53:00;0.0;67.5;1001.9;0.0;;4.7;0.95;;;7.019438444924406;4.0;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 04:23:00;07/12/2020;04:23:00;0.0;157.5;1002.0;0.0;;4.8;0.95;;;7.019438444924406;4.1;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 04:53:00;07/12/2020;04:53:00;0.0;157.5;1002.4;0.0;;4.7;0.95;;;7.019438444924406;4.0;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 05:23:00;07/12/2020;05:23:00;0.0;157.5;1002.6;0.0;;4.7;0.95;;;7.019438444924406;4.0;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 05:53:00;07/12/2020;05:53:00;0.0;292.5;1002.7;0.0;;4.8;0.96;;;7.019438444924406;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 06:23:00;07/12/2020;06:23:00;0.7559395248380129;315;1002.6;0.0;;4.8;0.96;;;7.019438444924406;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 06:53:00;07/12/2020;06:53:00;0.7559395248380129;67.5;1002.8;0.6;;4.8;0.96;;;7.019438444924406;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 07:24:00;07/12/2020;07:24:00;1.7278617710583153;247.5;1003.1;1.8;;4.5;0.95;;;7.019438444924406;3.8;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 07:57:00;07/12/2020;07:57:00;2.537796976241901;292.5;1003.4;3.2;;3.9;0.93;;;7.019438444924406;2.9;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020 08:27:00;07/12/2020;08:27:00;2.537796976241901;292.5;1004.1;5.8;;3.6;0.93;;;7.019438444924406;2.6;;;;;;;;;;;;;;;;;;;;;;;;;
