timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content
04/12/2020 12:21:04;04/12/2020;12:21:04;0.0;360.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:26:04;04/12/2020;12:26:04;0.0;225.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:28:04;04/12/2020;12:28:04;0.0;225.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:33:04;04/12/2020;12:33:04;0.0;270.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;0.0;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:38:04;04/12/2020;12:38:04;0.0;292.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:42:04;04/12/2020;12:42:04;0.0;315.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:47:04;04/12/2020;12:47:04;0.0;360.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:52:04;04/12/2020;12:52:04;0.0;360.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 12:57:04;04/12/2020;12:57:04;0.0;360.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:02:04;04/12/2020;13:02:04;0.0;360.0;1004.0;1.0;0.0;2.6;1.0;0.0;;0.0;;2.6;;0.0;;;15.7;1317.9;0.0;;;1.0;;;;2.6;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:07:05;04/12/2020;13:07:05;0.0;135.0;1004.0;1.0;0.0;2.7;1.0;0.0;;0.0;;2.7;;0.0;;;15.7;1317.9;0.0;;;1.1;;;;2.7;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:12:04;04/12/2020;13:12:04;0.0;135.0;1004.0;1.0;0.0;2.7;1.0;0.0;;0.0;;2.7;;0.0;;;15.7;1317.9;0.0;;;1.1;;;;2.7;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:17:04;04/12/2020;13:17:04;0.0;135.0;1004.0;1.0;0.0;2.7;1.0;0.0;;0.0;;2.7;;0.0;;;15.7;1317.9;0.0;;;1.1;;;;2.7;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:22:05;04/12/2020;13:22:05;0.0;135.0;1004.0;1.0;0.0;2.7;1.0;0.0;;0.0;;2.7;;0.0;;;15.7;1317.9;0.0;;;1.1;;;;2.7;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:27:05;04/12/2020;13:27:05;0.9719222462203023;135.0;1004.0;1.0;0.0;2.8;1.0;0.0;;1.8;;2.8;;0.0;;;15.7;1317.9;0.0;;;1.2;;;;2.8;;;;1002.0;0.1079913606911447;;;0.0;;
04/12/2020 13:32:04;04/12/2020;13:32:04;0.0;90.0;1004.0;1.0;0.0;2.9;1.0;0.0;;0.0;;2.9;;0.0;;;15.7;1317.9;0.0;;;1.4;;;;2.9;;;;1002.0;0.0;;;0.0;;
04/12/2020 13:37:04;04/12/2020;13:37:04;0.0;45.0;1003.0;1.0;0.0;2.9;1.0;0.0;;0.0;;2.9;;0.0;;;15.7;1317.9;0.0;;;1.4;;;;2.9;;;;1001.0;0.0;;;0.0;;
04/12/2020 13:42:04;04/12/2020;13:42:04;0.0;270.0;1003.0;1.0;0.0;3.0;1.0;0.0;;1.4;;3.0;;0.0;;;15.7;1317.9;0.0;;;1.5;;;;3.0;;;;1001.0;0.05399568034557235;;;0.0;;
04/12/2020 13:48:04;04/12/2020;13:48:04;0.0;202.0;1003.0;1.0;0.0;3.1;1.0;0.0;;0.0;;3.1;;0.0;;;15.7;1317.9;0.0;;;1.6;;;;3.1;;;;1001.0;0.0;;;0.0;;
