timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:26:00;02/01/2021;18:26:00;0.7559395248380129;247.5;1007.9;24.4;;2.8;0.94;;;7.829373650107991;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 18:53:00;02/01/2021;18:53:00;0.0;247.5;1008.0;24.6;;2.6;0.94;;;7.829373650107991;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 18:56:00;02/01/2021;18:56:00;0.0;247.5;1008.0;24.6;;2.6;0.94;;;7.829373650107991;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 19:29:00;02/01/2021;19:29:00;0.7559395248380129;0;1008.0;24.6;;2.7;0.94;;;7.829373650107991;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 20:00:00;02/01/2021;20:00:00;0.0;315;1008.1;24.8;;2.4;0.94;;;7.829373650107991;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 20:33:00;02/01/2021;20:33:00;1.7278617710583153;247.5;1008.2;25.4;;2.6;0.94;;;7.829373650107991;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 21:02:00;02/01/2021;21:02:00;1.7278617710583153;45;1008.1;26.4;;3.2;0.94;;;7.829373650107991;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 21:32:00;02/01/2021;21:32:00;0.7559395248380129;315;1008.2;26.6;;2.6;0.94;;;7.829373650107991;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 22:02:00;02/01/2021;22:02:00;1.7278617710583153;225;1008.3;26.8;;2.8;0.95;;;7.829373650107991;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 22:32:00;02/01/2021;22:32:00;0.7559395248380129;90;1008.4;27.0;;3.1;0.93;;;7.829373650107991;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;
