timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:25:00;02/01/2021;18:25:00;0.0;180;1009.4;19.7;0.9;0.6;0.88;;;0.0;-1.2;;;;;;20.1;20.1;;;;-1.0;-1.9;0.6;Night time/Neve;-0.1;;;;;0.0;0.2;;;;;
02/01/2021 18:30:00;02/01/2021;18:30:00;0.0;180;1009.5;19.7;0.9;0.6;0.88;;;0.0;-1.2;;;;;;20.1;20.1;;;;-1.0;-1.9;0.6;Night time/Neve;-0.1;;;;;0.0;0.2;;;;;
02/01/2021 18:35:00;02/01/2021;18:35:00;0.0;180;1009.4;19.7;0.6;0.6;0.88;;;0.0;-1.2;;;;;;20.1;20.1;;;;-1.0;-1.9;0.6;Night time/Recente showers;-0.1;;;;;0.0;0.2;;;;;
02/01/2021 18:40:00;02/01/2021;18:40:00;0.0;180;1009.4;19.9;0.9;0.6;0.88;;;0.0;-1.2;;;;;;20.3;20.3;;;;-1.0;-1.9;0.6;Night time/Neve;-0.1;;;;;0.0;0.2;;;;;
02/01/2021 18:50:00;02/01/2021;18:50:00;0.0;180;1009.4;19.9;0.6;0.6;0.88;;;0.0;-1.1;;;;;;20.3;20.3;;;;-0.9;-1.8;0.6;Night time/Recente showers;-0.0;;;;;0.0;0.2;;;;;
02/01/2021 18:55:00;02/01/2021;18:55:00;0.0;180;1009.3;19.9;0.6;0.7;0.88;;;0.0;-1.1;;;;;;20.3;20.3;;;;-0.9;-1.8;0.7;Night time/Smesso di nevicare;0.1;;;;;0.0;0.2;;;;;
02/01/2021 18:55:00;02/01/2021;18:55:00;0.0;180;1009.3;19.9;0.6;0.7;0.88;;;0.0;-1.1;;;;;;20.3;20.3;;;;-0.9;-1.8;0.7;Night time/Smesso di nevicare;0.1;;;;;0.0;0.2;;;;;
02/01/2021 19:00:00;02/01/2021;19:00:00;0.0;180;1009.4;20.1;0.9;0.6;0.88;;;0.0;-1.1;;;;;;20.5;20.5;;;;-0.9;-1.8;0.6;Night time/Neve;-0.0;;;;;0.0;0.2;;;;;
02/01/2021 19:10:00;02/01/2021;19:10:00;0.0;180;1009.4;20.3;0.9;0.6;0.88;;;0.0;-1.1;;;;;;20.7;20.7;;;;-0.9;-1.8;0.6;Night time/Neve;-0.0;;;;;0.0;0.2;;;;;
02/01/2021 19:15:00;02/01/2021;19:15:00;0.0;180;1009.4;20.3;0.9;0.6;0.88;;;0.0;-1.1;;;;;;20.7;20.7;;;;-0.9;-1.8;0.6;Night time/Neve;-0.0;;;;;0.0;0.2;;;;;
02/01/2021 19:20:00;02/01/2021;19:20:00;0.0;180;1009.5;20.5;1.1;0.6;0.88;;;0.0;-1.1;;;;;;21.0;21.0;;;;-0.9;-1.8;0.6;Night time/Neve;-0.0;;;;;0.0;0.2;;;;;
02/01/2021 19:25:00;02/01/2021;19:25:00;0.0;180;1009.6;20.5;0.9;0.7;0.88;;;0.0;-1.1;;;;;;21.0;21.0;;;;-0.9;-1.8;0.7;Night time/Neve;0.1;;;;;0.0;0.2;;;;;
02/01/2021 19:30:00;02/01/2021;19:30:00;0.0;180;1009.4;20.7;1.1;0.7;0.88;;;0.0;-1.1;;;;;;21.2;21.2;;;;-0.9;-1.8;0.7;Night time/Recente showers;0.1;;;;;0.0;0.2;;;;;
02/01/2021 19:35:00;02/01/2021;19:35:00;0.0;180;1009.5;20.7;1.1;0.7;0.88;;;0.0;-1.1;;;;;;21.2;21.2;;;;-0.9;-1.8;0.7;Night time/Neve;0.1;;;;;0.0;0.2;;;;;
