timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:28:00;02/01/2021;18:28:00;11.3;52.0;1004.8;0.0;0.0;7.4;0.91;;;15.6;6.0;;;;;;;;;;;3.8;;;;;;;;;;;;;;;
02/01/2021 18:29:00;02/01/2021;18:29:00;11.3;45.0;1004.7;0.0;0.0;7.4;0.91;;;15.6;6.0;;;;;;;;;;;4.0;;;;;;;;;;;;;;;
02/01/2021 18:30:00;02/01/2021;18:30:00;11.3;36.0;1004.8;0.0;0.0;7.3;0.91;;;15.6;5.9;;;;;;;;;;;3.8;;;;;;;;;;;;;;;
02/01/2021 18:31:00;02/01/2021;18:31:00;11.3;71.0;1004.9;0.0;0.0;7.4;0.91;;;18.3;6.0;;;;;;;;;;;3.0;;;;;;;;;;;;;;;
02/01/2021 18:33:00;02/01/2021;18:33:00;11.3;40.0;1004.8;0.0;0.0;7.4;0.91;;;18.3;6.0;;;;;;;;;;;3.5;;;;;;;;;;;;;;;
02/01/2021 18:35:00;02/01/2021;18:35:00;12.2;17.0;1004.7;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;4.0;;;;;;;;;;;;;;;
02/01/2021 18:37:00;02/01/2021;18:37:00;12.2;15.0;1004.7;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.7;;;;;;;;;;;;;;;
02/01/2021 18:38:00;02/01/2021;18:38:00;12.2;17.0;1004.7;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.1;;;;;;;;;;;;;;;
02/01/2021 18:39:00;02/01/2021;18:39:00;13.0;53.0;1004.7;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.6;;;;;;;;;;;;;;;
02/01/2021 18:40:00;02/01/2021;18:40:00;13.0;29.0;1004.6;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.4;;;;;;;;;;;;;;;
02/01/2021 18:42:00;02/01/2021;18:42:00;13.0;63.0;1004.5;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.9;;;;;;;;;;;;;;;
02/01/2021 18:43:00;02/01/2021;18:43:00;13.0;30.0;1004.6;0.0;0.0;7.3;0.91;;;17.3;5.9;;;;;;;;;;;3.7;;;;;;;;;;;;;;;
02/01/2021 18:45:00;02/01/2021;18:45:00;13.0;40.0;1004.6;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.0;;;;;;;;;;;;;;;
02/01/2021 18:46:00;02/01/2021;18:46:00;13.0;40.0;1004.6;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.0;;;;;;;;;;;;;;;
02/01/2021 18:47:00;02/01/2021;18:47:00;14.0;345.0;1004.6;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.9;;;;;;;;;;;;;;;
02/01/2021 18:49:00;02/01/2021;18:49:00;13.0;30.0;1004.6;0.0;0.0;7.3;0.91;;;18.3;5.9;;;;;;;;;;;3.3;;;;;;;;;;;;;;;
02/01/2021 18:50:00;02/01/2021;18:50:00;14.0;14.0;1004.7;0.0;0.0;7.3;0.91;;;16.5;5.9;;;;;;;;;;;3.1;;;;;;;;;;;;;;;
02/01/2021 18:53:00;02/01/2021;18:53:00;14.0;45.0;1004.6;0.0;0.0;7.3;0.91;;;20.0;5.9;;;;;;;;;;;3.0;;;;;;;;;;;;;;;
02/01/2021 18:54:00;02/01/2021;18:54:00;14.0;46.0;1004.6;0.0;0.0;7.3;0.91;;;20.0;5.9;;;;;;;;;;;3.6;;;;;;;;;;;;;;;
02/01/2021 18:55:00;02/01/2021;18:55:00;14.0;39.0;1004.6;0.0;0.0;7.3;0.91;;;20.0;5.9;;;;;;;;;;;3.4;;;;;;;;;;;;;;;
02/01/2021 18:57:00;02/01/2021;18:57:00;14.0;51.0;1004.7;0.0;0.0;7.3;0.91;;;20.0;5.9;;;;;;;;;;;3.7;;;;;;;;;;;;;;;
02/01/2021 18:59:00;02/01/2021;18:59:00;14.0;42.0;1004.7;0.0;0.0;7.3;0.91;;;17.3;5.9;;;;;;;;;;;3.9;;;;;;;;;;;;;;;
02/01/2021 19:00:00;02/01/2021;19:00:00;14.0;28.0;1004.6;0.0;0.0;7.3;0.91;;;17.3;5.9;;;;;;;;;;;4.0;;;;;;;;;;;;;;;
02/01/2021 19:01:00;02/01/2021;19:01:00;13.0;42.0;1004.6;0.0;0.0;7.3;0.91;;;17.3;5.9;;;;;;;;;;;4.0;;;;;;;;;;;;;;;
