timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 09:52:00;03/02/2021;09:52:00;0.0;247.5;1018.1;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-1.6;;-1.6;;-1.6;;;;;;;;;;;;;;
03/02/2021 10:01:00;03/02/2021;10:01:00;0.0;247.5;1018.2;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;;;;
03/02/2021 10:11:00;03/02/2021;10:11:00;0.0;315;1018.2;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-1.6;;-1.6;;-1.6;;;;;;;;;;;;;;
03/02/2021 10:20:00;03/02/2021;10:20:00;0.0;247.5;1017.9;0.0;0.0;-1.2;0.98;;;;-1.5;;;;;;;;;;;-1.2;;-1.2;;-1.2;;;;;;;;;;;;;;
03/02/2021 11:05:00;03/02/2021;11:05:00;;247.5;1017.9;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;;;;
03/02/2021 11:10:00;03/02/2021;11:10:00;;315;1017.9;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-1.6;;-1.6;;-1.6;;;;;;;;;;;;;;
03/02/2021 11:21:00;03/02/2021;11:21:00;;247.5;1018.2;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-14.8;;-14.8;;-1.6;;;;;;;;;;;;;;
03/02/2021 14:52:00;03/02/2021;14:52:00;;135;1015.2;0.0;0.0;1.0;0.98;;;;0.7;;;;;;;;;;;-10.5;;-10.5;;1.0;;;;;;;;;;;;;;
03/02/2021 14:52:00;03/02/2021;14:52:00;;135;1015.2;0.0;0.0;1.0;0.98;;;;0.7;;;;;;;;;;;-10.5;;-10.5;;1.0;;;;;;;;;;;;;;
03/02/2021 14:52:00;03/02/2021;14:52:00;;135;1015.2;0.0;0.0;1.0;0.98;;;;0.7;;;;;;;;;;;-10.5;;-10.5;;1.0;;;;;;;;;;;;;;
03/02/2021 15:51:00;03/02/2021;15:51:00;;135;1014.7;0.0;0.0;1.2;1.0;;;;1.2;;;;;;;;;;;-10.1;;-10.1;;1.2;;;;;;;;;;;;;;
03/02/2021 16:03:00;03/02/2021;16:03:00;;315;1014.7;0.0;0.0;1.2;1.0;;;;1.2;;;;;;;;;;;-10.1;;-10.1;;1.2;;;;;;;;;;;;;;
03/02/2021 16:14:00;03/02/2021;16:14:00;;135;1014.7;0.0;0.0;1.2;1.0;;;;1.2;;;;;;;;;;;-10.0;;-10.0;;1.2;;;;;;;;;;;;;;
03/02/2021 16:24:00;03/02/2021;16:24:00;;135;1014.6;0.0;0.0;1.2;1.0;;;;1.2;;;;;;;;;;;-10.0;;-10.0;;1.2;;;;;;;;;;;;;;
03/02/2021 16:33:00;03/02/2021;16:33:00;;112.5;1014.5;0.0;0.0;1.3;1.0;;;;1.3;;;;;;;;;;;-9.9;;-9.9;;1.3;;;;;;;;;;;;;;
03/02/2021 16:44:00;03/02/2021;16:44:00;;315;1014.5;0.0;0.0;1.2;1.0;;;;1.2;;;;;;;;;;;-10.1;;-10.1;;1.2;;;;;;;;;;;;;;
03/02/2021 16:55:00;03/02/2021;16:55:00;;315;1014.5;0.0;0.0;1.3;1.0;;;;1.3;;;;;;;;;;;-9.8;;-9.8;;1.3;;;;;;;;;;;;;;
03/02/2021 17:04:00;03/02/2021;17:04:00;;135;1014.5;0.0;0.0;1.3;1.0;;;;1.3;;;;;;;;;;;-10.0;;-10.0;;1.3;;;;;;;;;;;;;;
