timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 20:10:05;20/11/2020;20:10:05;0.0;315.0;1026.5;4.3;0.0;1.7;0.98;0.0;;0.0;;1.7;;0.0;;;9.4;1301.2;0.0;;;-0.1;;;;1.6;;;;1024.0;0.0;;;35.0
20/11/2020 20:10:05;20/11/2020;20:10:05;0.0;315.0;1026.5;4.3;0.0;1.7;0.98;0.0;;0.0;;1.7;;0.0;;;9.4;1301.2;0.0;;;-0.1;;;;1.6;;;;1024.0;0.0;;;35.0
20/11/2020 20:20:04;20/11/2020;20:20:04;0.0;338.0;1027.5;4.3;0.0;2.0;0.99;0.0;;0.0;;2.0;;0.0;;;9.4;1301.2;0.0;;;0.3;;;;1.9;;;;1025.0;0.0;;;17.0
20/11/2020 20:25:05;20/11/2020;20:25:05;0.0;315.0;1027.5;4.3;0.0;2.0;0.99;0.0;;0.0;;2.0;;0.0;;;9.4;1301.2;0.0;;;0.3;;;;1.9;;;;1025.0;0.0;;;17.0
20/11/2020 20:30:05;20/11/2020;20:30:05;0.0;248.0;1027.5;4.3;0.0;1.7;0.98;0.0;;0.0;;1.8;;0.0;;;9.4;1301.2;0.0;;;-0.1;;;;1.6;;;;1025.0;0.0;;;35.0
20/11/2020 20:35:04;20/11/2020;20:35:04;0.0;225.0;1027.5;4.3;0.0;1.6;0.97;0.0;;0.0;;1.6;;0.0;;;9.4;1301.2;0.0;;;-0.2;;;;1.4;;;;1025.0;0.0;;;52.0
20/11/2020 20:40:05;20/11/2020;20:40:05;0.0;225.0;1027.5;4.3;0.0;1.5;0.98;0.0;;0.0;;1.5;;0.0;;;9.4;1301.2;0.0;;;-0.3;;;;1.4;;;;1025.0;0.0;;;35.0
20/11/2020 20:45:04;20/11/2020;20:45:04;0.0;225.0;1027.5;4.3;0.0;1.4;0.98;0.0;;0.0;;1.4;;0.0;;;9.4;1301.2;0.0;;;-0.4;;;;1.3;;;;1025.0;0.0;;;35.0
20/11/2020 20:50:04;20/11/2020;20:50:04;0.0;225.0;1027.5;4.3;0.0;1.4;0.98;0.0;;0.0;;1.4;;0.0;;;9.4;1301.2;0.0;;;-0.4;;;;1.3;;;;1025.0;0.0;;;35.0
20/11/2020 20:55:04;20/11/2020;20:55:04;0.0;202.0;1027.5;4.3;0.0;1.3;0.99;0.0;;0.0;;1.3;;0.0;;;9.4;1301.2;0.0;;;-0.5;;;;1.2;;;;1025.0;0.0;;;17.0
