timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content
05/12/2020 23:39:00;05/12/2020;23:39:00;;315;1001.0;0.0;0.0;4.5;1.0;;;;4.5;;;;;;;;;;;-5.2;;-5.2;;4.6;;;;;;;;;;
05/12/2020 23:48:00;05/12/2020;23:48:00;;90;1001.8;0.0;0.0;4.7;1.0;;;;4.7;;;;;;;;;;;-5.0;;-5.0;;4.9;;;;;;;;;;
05/12/2020 23:52:00;05/12/2020;23:52:00;;90;1001.8;0.0;0.0;4.7;0.98;;;;4.4;;;;;;;;;;;-4.9;;-4.9;;4.8;;;;;;;;;;
06/12/2020 00:22:00;06/12/2020;00:22:00;;90;1001.1;0.0;0.0;4.4;1.0;;;;4.4;;;;;;;;;;;-5.4;;-5.4;;4.5;;;;;;;;;;
06/12/2020 00:33:00;06/12/2020;00:33:00;;67.5;1001.6;0.0;0.0;4.4;1.0;;;;4.4;;;;;;;;;;;-5.4;;-5.4;;4.5;;;;;;;;;;
06/12/2020 00:42:00;06/12/2020;00:42:00;;45;1001.6;0.0;0.0;4.6;1.0;;;;4.6;;;;;;;;;;;-5.0;;-5.0;;4.8;;;;;;;;;;
06/12/2020 00:51:00;06/12/2020;00:51:00;;90;1002.2;0.0;0.0;4.2;0.98;;;;3.9;;;;;;;;;;;-5.6;;-5.6;;4.3;;;;;;;;;;
06/12/2020 01:02:00;06/12/2020;01:02:00;;67.5;1002.9;0.0;0.0;3.9;1.0;;;;3.9;;;;;;;;;;;-6.2;;-6.2;;4.0;;;;;;;;;;
06/12/2020 01:11:00;06/12/2020;01:11:00;;112.5;1002.9;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.2;;-6.2;;3.9;;;;;;;;;;
06/12/2020 01:21:00;06/12/2020;01:21:00;;90;1002.8;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.3;;-6.3;;3.9;;;;;;;;;;
06/12/2020 01:31:00;06/12/2020;01:31:00;;90;1002.9;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.2;;-6.2;;3.9;;;;;;;;;;
06/12/2020 01:40:00;06/12/2020;01:40:00;;315;1002.9;0.0;0.0;3.9;1.0;;;;3.9;;;;;;;;;;;-6.1;;-6.1;;4.0;;;;;;;;;;
06/12/2020 01:51:00;06/12/2020;01:51:00;;45;1003.0;0.0;0.0;3.9;1.0;;;;3.9;;;;;;;;;;;-6.1;;-6.1;;4.0;;;;;;;;;;
06/12/2020 02:00:00;06/12/2020;02:00:00;;67.5;1002.8;0.0;0.0;3.9;1.0;;;;3.9;;;;;;;;;;;-6.1;;-6.1;;4.0;;;;;;;;;;
06/12/2020 02:09:00;06/12/2020;02:09:00;;67.5;1002.8;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.3;;-6.3;;3.9;;;;;;;;;;
06/12/2020 02:18:00;06/12/2020;02:18:00;;67.5;1002.7;0.0;0.0;3.7;1.0;;;;3.7;;;;;;;;;;;-6.4;;-6.4;;3.8;;;;;;;;;;
06/12/2020 02:29:00;06/12/2020;02:29:00;;67.5;1002.7;0.0;0.0;3.4;1.0;;;;3.4;;;;;;;;;;;-6.9;;-6.9;;3.5;;;;;;;;;;
06/12/2020 02:38:00;06/12/2020;02:38:00;;67.5;1003.1;0.0;0.0;3.3;1.0;;;;3.3;;;;;;;;;;;-7.0;;-7.0;;3.4;;;;;;;;;;
06/12/2020 02:47:00;06/12/2020;02:47:00;;45;1002.7;0.0;0.0;3.3;1.0;;;;3.3;;;;;;;;;;;-7.0;;-7.0;;3.4;;;;;;;;;;
06/12/2020 02:51:00;06/12/2020;02:51:00;;45;1002.7;0.0;0.0;3.4;1.0;;;;3.4;;;;;;;;;;;-6.8;;-6.8;;3.5;;;;;;;;;;
06/12/2020 03:25:00;06/12/2020;03:25:00;;67.5;1002.5;0.0;0.0;3.6;1.0;;;;3.6;;;;;;;;;;;-6.6;;-6.6;;3.7;;;;;;;;;;
06/12/2020 03:35:00;06/12/2020;03:35:00;;45;1002.3;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.2;;-6.2;;3.9;;;;;;;;;;
06/12/2020 03:44:00;06/12/2020;03:44:00;;45;1002.3;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.4;;-6.4;;3.9;;;;;;;;;;
06/12/2020 03:55:00;06/12/2020;03:55:00;;45;1002.3;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.2;;-6.2;;3.9;;;;;;;;;;
06/12/2020 04:04:00;06/12/2020;04:04:00;;45;1002.0;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.4;;-6.4;;3.9;;;;;;;;;;
06/12/2020 04:15:00;06/12/2020;04:15:00;;67.5;1002.3;0.0;0.0;3.8;1.0;;;;3.8;;;;;;;;;;;-6.2;;-6.2;;3.9;;;;;;;;;;
06/12/2020 04:24:00;06/12/2020;04:24:00;;45;1002.3;0.0;0.0;3.4;1.0;;;;3.4;;;;;;;;;;;-6.9;;-6.9;;3.5;;;;;;;;;;
06/12/2020 04:33:00;06/12/2020;04:33:00;;0;1002.2;0.0;0.0;3.4;1.0;;;;3.4;;;;;;;;;;;-6.9;;-6.9;;3.5;;;;;;;;;;
06/12/2020 04:42:00;06/12/2020;04:42:00;;67.5;1002.2;0.0;0.0;3.3;1.0;;;;3.3;;;;;;;;;;;-7.0;;-7.0;;3.4;;;;;;;;;;
06/12/2020 04:52:00;06/12/2020;04:52:00;;90;1002.2;0.0;0.0;3.3;1.0;;;;3.3;;;;;;;;;;;-6.9;;-6.9;;3.4;;;;;;;;;;
06/12/2020 05:02:00;06/12/2020;05:02:00;;45;1002.0;0.0;0.0;3.3;1.0;;;;3.3;;;;;;;;;;;-7.1;;-7.1;;3.4;;;;;;;;;;
06/12/2020 05:12:00;06/12/2020;05:12:00;;67.5;1002.0;0.0;0.0;3.2;1.0;;;;3.2;;;;;;;;;;;-7.2;;-7.2;;3.3;;;;;;;;;;
06/12/2020 05:22:00;06/12/2020;05:22:00;;67.5;1002.0;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.3;;-7.3;;3.2;;;;;;;;;;
06/12/2020 05:32:00;06/12/2020;05:32:00;;45;1002.2;0.0;0.0;3.2;1.0;;;;3.2;;;;;;;;;;;-7.2;;-7.2;;3.3;;;;;;;;;;
06/12/2020 05:41:00;06/12/2020;05:41:00;;67.5;1002.2;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.3;;-7.3;;3.2;;;;;;;;;;
06/12/2020 05:49:00;06/12/2020;05:49:00;;67.5;1002.1;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.3;;-7.3;;3.2;;;;;;;;;;
06/12/2020 06:20:00;06/12/2020;06:20:00;;45;1001.6;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.4;;-7.4;;3.2;;;;;;;;;;
06/12/2020 06:30:00;06/12/2020;06:30:00;;45;1001.7;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.3;;-7.3;;3.2;;;;;;;;;;
06/12/2020 06:39:00;06/12/2020;06:39:00;;45;1001.7;0.0;0.0;3.2;1.0;;;;3.2;;;;;;;;;;;-7.2;;-7.2;;3.3;;;;;;;;;;
06/12/2020 06:50:00;06/12/2020;06:50:00;;45;1001.7;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.2;;-7.2;;3.2;;;;;;;;;;
06/12/2020 06:59:00;06/12/2020;06:59:00;;67.5;1001.7;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.2;;-7.2;;3.2;;;;;;;;;;
06/12/2020 07:09:00;06/12/2020;07:09:00;;45;1001.5;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.3;;-7.3;;3.2;;;;;;;;;;
06/12/2020 07:18:00;06/12/2020;07:18:00;;45;1001.0;0.0;0.0;3.1;1.0;;;;3.1;;;;;;;;;;;-7.2;;-7.2;;3.2;;;;;;;;;;
06/12/2020 07:29:00;06/12/2020;07:29:00;;45;1001.0;0.0;0.0;2.9;1.0;;;;2.9;;;;;;;;;;;-7.6;;-7.6;;3.0;;;;;;;;;;
06/12/2020 07:39:00;06/12/2020;07:39:00;;45;1000.8;0.0;0.0;2.9;1.0;;;;2.9;;;;;;;;;;;-7.6;;-7.6;;3.0;;;;;;;;;;
