timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/02/2021 19:13:05;10/02/2021;19:13:05;0.0;135.0;1000.9;17.8;0.0;3.9;1.0;0.0;;2.2;;3.9;;0.0;;;65.3;187.2;0.0;;;2.4;;;;3.9;;;;999.0;0.3779697624190064;;;0.0;;;;;;;
10/02/2021 19:18:05;10/02/2021;19:18:05;0.0;135.0;1000.9;17.8;0.0;4.0;1.0;0.0;;1.8;;3.9;;0.0;;;65.3;187.2;0.0;;;2.6;;;;4.0;;;;999.0;0.16198704103671704;;;0.0;;;;;;;
10/02/2021 19:23:05;10/02/2021;19:23:05;0.0;90.0;1000.9;17.8;0.0;4.0;1.0;0.0;;1.8;;4.0;;0.0;;;65.3;187.2;0.0;;;2.6;;;;4.0;;;;999.0;0.1079913606911447;;;0.0;;;;;;;
10/02/2021 19:28:05;10/02/2021;19:28:05;0.0;90.0;1000.9;17.8;0.0;4.0;1.0;0.0;;2.5;;4.0;;0.0;;;65.3;187.2;0.0;;;2.6;;;;4.0;;;;999.0;0.2159827213822894;;;0.0;;;;;;;
10/02/2021 19:32:04;10/02/2021;19:32:04;0.0;135.0;1000.9;17.8;0.0;4.1;1.0;0.0;;2.5;;4.1;;0.0;;;65.3;187.2;0.0;;;2.7;;;;4.1;;;;999.0;0.3239740820734341;;;0.0;;;;;;;
10/02/2021 19:37:04;10/02/2021;19:37:04;0.0;135.0;1000.9;17.8;0.0;4.0;1.0;0.0;;2.2;;4.0;;0.0;;;65.3;187.2;0.0;;;2.6;;;;4.0;;;;999.0;0.1079913606911447;;;0.0;;;;;;;
10/02/2021 19:42:05;10/02/2021;19:42:05;0.0;90.0;1000.9;17.8;0.0;4.0;1.0;0.0;;0.0;;4.0;;0.0;;;65.3;187.2;0.0;;;2.7;;;;4.0;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 19:52:06;10/02/2021;19:52:06;0.0;315.0;1000.9;17.8;0.0;3.9;1.0;0.0;;0.0;;0.0;;0.0;;;65.3;187.2;0.0;;;2.6;;;;3.9;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 19:57:04;10/02/2021;19:57:04;0.0;292.0;1000.9;17.8;0.0;3.9;1.0;0.0;;0.0;;3.9;;0.0;;;65.3;187.2;0.0;;;2.6;;;;3.9;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 20:02:04;10/02/2021;20:02:04;0.0;45.0;1000.9;17.8;0.0;3.9;1.0;0.0;;0.0;;4.0;;0.0;;;65.3;187.2;0.0;;;2.6;;;;3.9;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 20:06:05;10/02/2021;20:06:05;0.0;360.0;1000.9;17.8;0.0;3.9;1.0;0.0;;0.0;;3.9;;0.0;;;65.3;187.2;0.0;;;2.6;;;;3.9;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 20:11:05;10/02/2021;20:11:05;0.0;360.0;1000.9;17.8;0.0;3.8;1.0;0.0;;0.0;;3.9;;0.0;;;65.3;187.2;0.0;;;2.4;;;;3.8;;;;999.0;0.0;;;0.0;;;;;;;
10/02/2021 20:16:05;10/02/2021;20:16:05;0.0;180.0;1000.9;17.8;0.0;3.8;1.0;0.0;;0.0;;3.8;;0.0;;;65.3;187.2;0.0;;;2.4;;;;3.8;;;;999.0;0.0;;;0.0;;;;;;;
