timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/02/2021 19:12:00;10/02/2021;19:12:00;0.8;323.0;996.1;11.4;0.0;9.6;0.95;;;3.5;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:13:00;10/02/2021;19:13:00;0.8;327.0;996.1;11.4;0.0;9.6;0.95;;;4.3;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:14:00;10/02/2021;19:14:00;1.8;317.0;996.1;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;8.8;;;;;;;;;;;;;;;;;;;
10/02/2021 19:15:00;10/02/2021;19:15:00;1.8;325.0;996.1;11.4;0.0;9.6;0.95;;;5.2;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:17:00;10/02/2021;19:17:00;1.8;329.0;996.1;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:18:00;10/02/2021;19:18:00;1.8;330.0;996.1;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;
10/02/2021 19:19:00;10/02/2021;19:19:00;1.8;11.0;996.2;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:20:00;10/02/2021;19:20:00;2.5;331.0;996.2;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:21:00;10/02/2021;19:21:00;2.5;330.0;996.2;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:22:00;10/02/2021;19:22:00;2.5;317.0;996.3;11.4;0.0;9.5;0.95;;;5.2;8.7;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;
10/02/2021 19:23:00;10/02/2021;19:23:00;2.5;320.0;996.2;11.4;0.0;9.5;0.95;;;4.3;8.7;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;
10/02/2021 19:24:00;10/02/2021;19:24:00;2.5;316.0;996.3;11.4;0.0;9.5;0.95;;;4.3;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:25:00;10/02/2021;19:25:00;2.5;329.0;996.3;11.4;0.0;9.5;0.95;;;4.3;8.7;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;
10/02/2021 19:26:00;10/02/2021;19:26:00;2.5;331.0;996.3;11.4;0.0;9.5;0.95;;;4.3;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:29:00;10/02/2021;19:29:00;2.5;331.0;996.3;11.4;0.0;9.6;0.95;;;4.3;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:30:00;10/02/2021;19:30:00;2.5;288.0;996.3;11.4;0.0;9.5;0.95;;;4.3;8.7;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;
10/02/2021 19:31:00;10/02/2021;19:31:00;2.5;5.0;996.4;11.4;0.0;9.6;0.95;;;4.3;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:32:00;10/02/2021;19:32:00;2.5;293.0;996.4;11.4;0.0;9.6;0.95;;;4.3;8.8;;;;;;;;;;;9.6;;;;;;;;;;;;;;;;;;;
10/02/2021 19:33:00;10/02/2021;19:33:00;2.5;320.0;996.3;11.4;0.0;9.6;0.95;;;4.3;8.8;;;;;;;;;;;9.4;;;;;;;;;;;;;;;;;;;
10/02/2021 19:34:00;10/02/2021;19:34:00;2.5;321.0;996.4;11.4;0.0;9.5;0.95;;;6.1;8.7;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;;
