timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/02/2021 19:11:00;10/02/2021;19:11:00;0.0;270;996.2;16.8;0.0;4.0;0.97;;4.1;6.101511879049676;3.6;4.0;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;4.0;;;;;;;;;0.0;;16.8;;1.243;0.218;;;;;
10/02/2021 19:21:00;10/02/2021;19:21:00;0.0;270;996.4;16.8;0.0;3.8;0.97;;3.9;6.101511879049676;3.4;3.8;4.4;;1.0;40.0;54.6;209.2;;;;3.8;;;;;;;;;0.0;;16.8;;1.244;0.218;;;;;
10/02/2021 19:31:00;10/02/2021;19:31:00;0.0;270;996.5;16.8;0.0;3.8;0.97;;3.9;6.101511879049676;3.4;3.8;4.4;;1.0;40.0;54.6;209.2;;;;3.8;;;;;;;;;0.0;;16.8;;1.2442;0.218;;;;;
10/02/2021 19:41:00;10/02/2021;19:41:00;0.0;270;996.6;16.8;0.0;3.9;0.97;;3.9;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.244;0.218;;;;;
10/02/2021 19:51:00;10/02/2021;19:51:00;0.0;270;996.8;16.8;0.0;3.9;0.97;;4.0;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2439;0.218;;;;;
10/02/2021 20:01:00;10/02/2021;20:01:00;0.0;270;997.0;16.8;0.0;3.9;0.97;;4.0;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2442;0.218;;;;;
10/02/2021 20:11:00;10/02/2021;20:11:00;0.0;270;997.0;16.8;0.0;4.0;0.97;;4.1;6.101511879049676;3.6;4.0;4.4;;1.0;40.0;54.6;209.2;;;;4.0;;;;;;;;;0.0;;16.8;;1.2439;0.218;;;;;
10/02/2021 20:21:00;10/02/2021;20:21:00;0.0;270;997.0;16.8;0.0;4.1;0.97;;4.1;6.101511879049676;3.6;4.1;4.4;;1.0;40.0;54.6;209.2;;;;4.1;;;;;;;;;0.0;;16.8;;1.2436;0.218;;;;;
10/02/2021 20:31:00;10/02/2021;20:31:00;0.0;270;997.2;16.8;0.0;4.1;0.97;;4.1;6.101511879049676;3.6;4.1;4.4;;1.0;40.0;54.6;209.2;;;;4.1;;;;;;;;;0.0;;16.8;;1.2439;0.218;;;;;
10/02/2021 20:40:00;10/02/2021;20:40:00;0.0;270;997.4;16.8;0.0;4.1;0.97;;4.1;6.101511879049676;3.6;4.1;4.4;;1.0;40.0;54.6;209.2;;;;4.1;;;;;;;;;0.0;;16.8;;1.2441;0.218;;;;;
10/02/2021 20:51:00;10/02/2021;20:51:00;0.0;270;997.5;16.8;0.0;3.9;0.97;;3.9;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2451;0.218;;;;;
10/02/2021 21:01:00;10/02/2021;21:01:00;0.0;315;997.7;16.8;0.0;3.8;0.97;;3.9;6.101511879049676;3.4;3.8;4.4;;1.0;40.0;54.6;209.2;;;;3.8;;;;;;;;;0.8639308855291576;;16.8;;1.2456;0.218;;;;;
10/02/2021 21:11:00;10/02/2021;21:11:00;0.8639308855291576;315;997.7;16.8;0.0;3.8;0.97;;3.9;6.101511879049676;3.4;3.8;4.4;;1.0;40.0;54.6;209.2;;;;3.8;;;;;;;;;0.8639308855291576;;16.8;;1.2456;0.218;;;;;
10/02/2021 21:21:00;10/02/2021;21:21:00;0.0;315;998.0;16.8;0.0;3.9;0.97;;4.0;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2455;0.218;;;;;
10/02/2021 21:21:00;10/02/2021;21:21:00;0.0;315;998.0;16.8;0.0;3.9;0.97;;4.0;6.101511879049676;3.5;3.9;4.4;;1.0;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2455;0.218;;;;;
10/02/2021 21:31:00;10/02/2021;21:31:00;0.8639308855291576;315;998.1;16.8;0.0;3.8;0.97;;3.9;6.101511879049676;3.4;3.8;4.4;;1.0;40.0;54.6;209.2;;;;3.8;;;;;;;;;0.0;;16.8;;1.2462;0.218;;;;;
10/02/2021 21:41:00;10/02/2021;21:41:00;0.0;315;998.3;16.8;0.0;3.7;0.97;;3.7;6.101511879049676;3.2;3.7;4.4;;1.0;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2473;0.218;;;;;
10/02/2021 21:51:00;10/02/2021;21:51:00;0.0;315;998.6;16.8;0.0;3.4;0.97;;3.4;6.101511879049676;3.0;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2488;0.218;;;;;
10/02/2021 22:01:00;10/02/2021;22:01:00;0.0;315;998.8;16.8;0.0;3.5;0.97;;3.6;6.101511879049676;3.1;3.5;4.4;;1.0;40.0;54.6;209.2;;;;3.5;;;;;;;;;0.0;;16.8;;1.2487;0.218;;;;;
10/02/2021 22:11:00;10/02/2021;22:11:00;0.0;315;998.9;16.8;0.0;3.6;0.97;;3.7;6.101511879049676;3.2;3.6;4.4;;1.0;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2484;0.218;;;;;
10/02/2021 22:21:00;10/02/2021;22:21:00;0.0;315;999.0;16.8;0.0;3.6;0.97;;3.7;6.101511879049676;3.2;3.6;4.4;;1.0;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2484;0.218;;;;;
10/02/2021 22:31:00;10/02/2021;22:31:00;0.0;315;999.1;16.8;0.0;3.5;0.97;;3.6;6.101511879049676;3.1;3.5;4.4;;1.0;40.0;54.6;209.2;;;;3.5;;;;;;;;;0.0;;16.8;;1.2491;0.218;;;;;
10/02/2021 22:41:00;10/02/2021;22:41:00;0.0;315;999.3;16.8;0.0;3.3;0.97;;3.3;6.101511879049676;2.8;3.3;4.4;;1.0;40.0;54.6;209.2;;;;3.3;;;;;;;;;0.0;;16.8;;1.2506;0.218;;;;;
10/02/2021 22:51:00;10/02/2021;22:51:00;0.0;315;999.6;16.8;0.0;3.2;0.97;;3.2;6.101511879049676;2.7;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.2515;0.218;;;;;
10/02/2021 23:01:00;10/02/2021;23:01:00;0.0;315;999.7;16.8;0.0;3.1;0.97;;3.1;6.101511879049676;2.6;3.1;4.4;;1.0;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2523;0.218;;;;;
10/02/2021 23:11:00;10/02/2021;23:11:00;0.0;315;999.8;16.8;0.0;3.1;0.97;;3.1;6.101511879049676;2.7;3.1;4.4;;1.0;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2521;0.218;;;;;
10/02/2021 23:20:00;10/02/2021;23:20:00;0.0;315;1000.0;16.8;0.0;3.4;0.97;;3.4;6.101511879049676;3.0;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2508;0.218;;;;;
10/02/2021 23:31:00;10/02/2021;23:31:00;0.0;315;1000.1;16.8;0.0;3.5;0.97;;3.6;6.101511879049676;3.1;3.5;4.4;;1.0;40.0;54.6;209.2;;;;3.5;;;;;;;;;0.0;;16.8;;1.2505;0.218;;;;;
10/02/2021 23:40:00;10/02/2021;23:40:00;0.0;315;1000.1;16.8;0.0;3.7;0.98;;3.7;6.101511879049676;3.4;3.7;4.4;;1.0;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2495;0.21899999999999997;;;;;
10/02/2021 23:51:00;10/02/2021;23:51:00;0.0;315;1000.3;16.8;0.0;3.6;0.97;;3.6;6.101511879049676;3.1;3.6;4.4;;1.0;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2504;0.218;;;;;
11/02/2021 00:01:00;11/02/2021;00:01:00;0.0;315;1000.5;0.0;0.0;3.6;0.97;;3.6;0.0;3.1;3.6;4.4;;1.0;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2507;0.218;;;;;
11/02/2021 00:11:00;11/02/2021;00:11:00;0.0;315;1000.6;0.0;0.0;3.4;0.97;;3.4;0.0;3.0;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2517;0.218;;;;;
11/02/2021 00:21:00;11/02/2021;00:21:00;0.0;315;1000.8;0.0;0.0;3.2;0.97;;3.2;0.0;2.7;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.253;0.218;;;;;
11/02/2021 00:31:00;11/02/2021;00:31:00;0.0;315;1001.0;0.0;0.0;3.2;0.97;;3.2;0.0;2.8;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.253;0.218;;;;;
11/02/2021 00:41:00;11/02/2021;00:41:00;0.0;315;1001.1;0.0;0.0;3.1;0.97;;3.1;0.0;2.7;3.1;4.4;;1.0;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2537;0.218;;;;;
11/02/2021 00:51:00;11/02/2021;00:51:00;0.0;225;1001.1;0.0;0.0;3.1;0.97;;3.1;0.0;2.7;3.1;4.4;;1.0;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2537;0.218;;;;;
11/02/2021 01:01:00;11/02/2021;01:01:00;0.0;225;1001.2;0.0;0.0;3.3;0.97;;3.3;0.0;2.8;3.3;4.4;;1.0;40.0;54.6;209.2;;;;3.3;;;;;;;;;0.0;;16.8;;1.2529;0.218;;;;;
11/02/2021 01:11:00;11/02/2021;01:11:00;0.0;225;1001.2;0.0;0.0;3.0;0.97;;3.0;0.0;2.6;3.0;4.4;;1.0;40.0;54.6;209.2;;;;3.0;;;;;;;;;0.0;;16.8;;1.2544;0.218;;;;;
11/02/2021 01:20:00;11/02/2021;01:20:00;0.0;225;1001.4;0.0;0.0;3.2;0.97;;3.2;0.0;2.7;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.2538;0.218;;;;;
11/02/2021 01:31:00;11/02/2021;01:31:00;0.0;225;1001.6;0.0;0.0;3.2;0.97;;3.2;0.0;2.8;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.2537;0.218;;;;;
11/02/2021 01:41:00;11/02/2021;01:41:00;0.0;225;1001.6;0.0;0.0;3.4;0.98;;3.4;0.0;3.1;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2528;0.21899999999999997;;;;;
11/02/2021 01:51:00;11/02/2021;01:51:00;0.0;225;1001.7;0.0;0.0;3.4;0.97;;3.4;0.0;3.0;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2531;0.218;;;;;
11/02/2021 02:00:00;11/02/2021;02:00:00;0.0;225;1002.1;0.0;0.0;3.2;0.97;;3.2;0.0;2.7;3.2;4.4;;1.0;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.2546;0.218;;;;;
11/02/2021 02:11:00;11/02/2021;02:11:00;0.0;270;1002.1;0.0;0.0;3.4;0.98;;3.4;0.0;3.1;3.4;4.4;;1.0;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2535;0.21899999999999997;;;;;
11/02/2021 02:21:00;11/02/2021;02:21:00;0.0;270;1002.2;0.0;0.0;3.5;0.98;;3.6;0.0;3.2;3.5;4.4;;1.0;40.0;54.6;209.2;;;;3.5;;;;;;;;;0.0;;16.8;;1.253;0.21899999999999997;;;;;
11/02/2021 02:30:00;11/02/2021;02:30:00;0.0;270;1002.4;0.0;0.0;3.7;0.97;;3.7;0.0;3.2;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2525;0.218;;;;;
11/02/2021 02:41:00;11/02/2021;02:41:00;0.0;270;1002.5;0.0;0.0;3.7;0.98;;3.8;0.0;3.4;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2522;0.21899999999999997;;;;;
11/02/2021 02:51:00;11/02/2021;02:51:00;0.0;270;1002.6;0.0;0.0;3.7;0.97;;3.7;0.0;3.2;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2527;0.218;;;;;
11/02/2021 03:01:00;11/02/2021;03:01:00;0.0;270;1002.6;0.0;0.0;3.7;0.97;;3.8;0.0;3.3;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2524;0.218;;;;;
11/02/2021 03:11:00;11/02/2021;03:11:00;0.0;270;1002.7;0.0;0.0;3.7;0.97;;3.8;0.0;3.3;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2526;0.218;;;;;
11/02/2021 03:21:00;11/02/2021;03:21:00;0.0;270;1002.7;0.0;0.0;3.6;0.97;;3.6;0.0;3.1;3.6;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2535;0.218;;;;;
11/02/2021 03:31:00;11/02/2021;03:31:00;0.0;270;1002.8;0.0;0.0;3.6;0.97;;3.7;0.0;3.2;3.6;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.6;;;;;;;;;0.0;;16.8;;1.2532;0.218;;;;;
11/02/2021 03:41:00;11/02/2021;03:41:00;0.0;270;1002.9;0.0;0.0;3.7;0.97;;3.7;0.0;3.2;3.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.7;;;;;;;;;0.0;;16.8;;1.2531;0.218;;;;;
11/02/2021 03:51:00;11/02/2021;03:51:00;0.0;202.5;1003.0;0.0;0.0;3.4;0.97;;3.4;0.0;3.0;3.4;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.4;;;;;;;;;0.0;;16.8;;1.2546;0.218;;;;;
11/02/2021 04:01:00;11/02/2021;04:01:00;0.0;202.5;1003.2;0.0;0.0;3.2;0.97;;3.2;0.0;2.8;3.2;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.2;;;;;;;;;0.0;;16.8;;1.2557;0.218;;;;;
11/02/2021 04:21:00;11/02/2021;04:21:00;0.0;202.5;1003.3;0.0;0.0;2.8;0.97;;2.8;0.0;2.3;2.8;4.4;;1.0;40.0;54.6;209.2;;;;2.8;;;;;;;;;0.0;;16.8;;1.2582;0.218;;;;;
11/02/2021 04:31:00;11/02/2021;04:31:00;0.8639308855291576;270;1003.4;0.0;0.0;3.1;0.98;;3.1;2.5917926565874727;2.8;3.1;4.4;;1.0;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2568;0.21899999999999997;;;;;
11/02/2021 04:41:00;11/02/2021;04:41:00;1.7278617710583153;270;1003.6;0.0;0.0;3.0;0.97;;3.0;3.4557235421166306;2.6;2.7;4.4;;1.0;40.0;54.6;209.2;;;;2.7;;;;;;;;;1.7278617710583153;;16.8;;1.2574;0.218;;;;;
11/02/2021 04:51:00;11/02/2021;04:51:00;0.0;270;1003.6;0.0;0.0;2.8;0.97;;2.8;3.4557235421166306;2.4;2.6;4.4;;1.0;40.0;54.6;209.2;;;;2.6;;;;;;;;;1.7278617710583153;;16.8;;1.2583;0.218;;;;;
11/02/2021 05:01:00;11/02/2021;05:01:00;0.0;270;1003.7;0.0;0.0;2.6;0.97;;2.6;3.4557235421166306;2.2;2.6;4.4;;1.0;40.0;54.6;209.2;;;;2.6;;;;;;;;;0.0;;16.8;;1.2596;0.218;;;;;
11/02/2021 05:11:00;11/02/2021;05:11:00;0.0;270;1003.9;0.0;0.0;2.5;0.97;;2.5;3.4557235421166306;2.1;2.5;4.4;;1.0;40.0;54.6;209.2;;;;2.5;;;;;;;;;0.8639308855291576;;16.8;;1.2604;0.218;;;;;
11/02/2021 05:21:00;11/02/2021;05:21:00;0.8639308855291576;270;1004.0;0.0;0.0;2.4;0.97;;2.4;3.4557235421166306;2.0;2.4;4.4;;1.0;40.0;54.6;209.2;;;;2.4;;;;;;;;;0.8639308855291576;;16.8;;1.2608;0.218;;;;;
11/02/2021 05:31:00;11/02/2021;05:31:00;0.0;270;1004.1;0.0;0.0;2.7;0.97;;2.7;3.4557235421166306;2.3;2.7;4.4;;1.0;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2595;0.218;;;;;
11/02/2021 05:51:00;11/02/2021;05:51:00;0.0;270;1004.1;0.0;0.0;2.7;0.97;;2.7;3.4557235421166306;2.3;2.7;4.4;;1.0;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2596;0.218;;;;;
11/02/2021 06:01:00;11/02/2021;06:01:00;0.0;270;1004.3;0.0;0.0;2.6;0.97;;2.6;3.4557235421166306;2.2;2.6;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.6;;;;;;;;;0.0;;16.8;;1.2603;0.218;;;;;
11/02/2021 06:11:00;11/02/2021;06:11:00;0.0;270;1004.4;0.0;0.0;2.4;0.97;;2.4;3.4557235421166306;2.0;2.4;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.4;;;;;;;;;0.0;;16.8;;1.2616;0.218;;;;;
11/02/2021 06:20:00;11/02/2021;06:20:00;0.0;270;1004.6;0.0;0.0;2.5;0.97;;2.5;3.4557235421166306;2.1;2.5;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.5;;;;;;;;;0.0;;16.8;;1.2613;0.218;;;;;
11/02/2021 06:31:00;11/02/2021;06:31:00;0.0;270;1004.7;0.0;0.0;2.7;0.97;;2.7;3.4557235421166306;2.2;2.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2606;0.218;;;;;
11/02/2021 06:41:00;11/02/2021;06:41:00;0.0;270;1004.7;0.0;0.0;2.9;0.98;;2.9;3.4557235421166306;2.6;2.9;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.2593;0.21899999999999997;;;;;
11/02/2021 06:51:00;11/02/2021;06:51:00;0.0;270;1004.8;0.0;0.0;2.7;0.98;;2.8;3.4557235421166306;2.4;2.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2604;0.21899999999999997;;;;;
11/02/2021 07:01:00;11/02/2021;07:01:00;0.0;270;1005.0;0.0;0.0;2.9;0.98;;2.9;3.4557235421166306;2.6;2.9;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.2597;0.21899999999999997;;;;;
11/02/2021 07:11:00;11/02/2021;07:11:00;0.0;270;1005.2;0.0;0.0;2.7;0.98;;2.8;3.4557235421166306;2.4;2.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2608;0.21899999999999997;;;;;
11/02/2021 07:21:00;11/02/2021;07:21:00;0.0;270;1005.4;0.0;0.0;3.0;0.98;;3.1;3.4557235421166306;2.7;3.0;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.0;;;;;;;;;0.0;;16.8;;1.2596;0.21899999999999997;;;;;
11/02/2021 07:31:00;11/02/2021;07:31:00;0.0;270;1005.6;0.0;0.0;2.8;0.98;;2.9;3.4557235421166306;2.5;2.8;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.8;;;;;;;;;0.0;;16.8;;1.2607;0.21899999999999997;;;;;
11/02/2021 07:40:00;11/02/2021;07:40:00;0.0;270;1005.9;0.0;0.0;2.7;0.97;;2.7;3.4557235421166306;2.2;2.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.262;0.218;;;;;
11/02/2021 07:51:00;11/02/2021;07:51:00;0.0;270;1006.0;0.0;0.0;2.7;0.97;;2.7;3.4557235421166306;2.2;2.7;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.7;;;;;;;;;0.0;;16.8;;1.2622;0.218;;;;;
11/02/2021 08:01:00;11/02/2021;08:01:00;0.0;270;1006.2;0.0;0.0;2.8;0.98;;2.9;3.4557235421166306;2.5;2.8;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.8;;;;;;;;;0.0;;16.8;;1.2615;0.21899999999999997;;;;;
11/02/2021 08:10:00;11/02/2021;08:10:00;0.0;270;1006.4;0.0;0.0;2.9;0.98;;2.9;3.4557235421166306;2.6;2.9;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.2615;0.21899999999999997;;;;;
11/02/2021 08:21:00;11/02/2021;08:21:00;0.0;270;1006.7;0.0;0.0;2.8;0.98;;2.9;3.4557235421166306;2.5;2.8;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;2.8;;;;;;;;;0.0;;16.8;;1.2621;0.21899999999999997;;;;;
11/02/2021 08:30:00;11/02/2021;08:30:00;0.0;270;1006.8;0.0;0.0;2.8;0.98;;2.9;3.4557235421166306;2.5;2.8;4.4;;1.0;40.0;54.6;209.2;;;;2.8;;;;;;;;;0.0;;16.8;;1.2622;0.21899999999999997;;;;;
11/02/2021 08:41:00;11/02/2021;08:41:00;0.0;270;1006.8;0.0;0.0;2.9;0.98;;2.9;3.4557235421166306;2.6;2.9;4.4;;1.0;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.262;0.21899999999999997;;;;;
11/02/2021 08:50:00;11/02/2021;08:50:00;0.0;270;1007.0;0.0;0.0;2.9;0.98;;2.9;3.4557235421166306;2.6;2.9;4.4;;1.0;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.2622;0.21899999999999997;;;;;
11/02/2021 09:01:00;11/02/2021;09:01:00;0.0;270;1007.2;0.0;0.0;2.9;0.98;;3.0;3.4557235421166306;2.7;2.9;4.4;;1.0;40.0;54.6;209.2;;;;2.9;;;;;;;;;0.0;;16.8;;1.2622;0.21899999999999997;;;;;
11/02/2021 09:11:00;11/02/2021;09:11:00;0.0;270;1007.3;0.0;0.0;3.1;0.98;;3.1;3.4557235421166306;2.8;3.1;4.4;;0.9333333333333333;40.0;54.6;209.2;;;;3.1;;;;;;;;;0.0;;16.8;;1.2617;0.21899999999999997;;;;;
11/02/2021 09:20:00;11/02/2021;09:20:00;0.0;270;1007.4;0.0;0.0;3.3;0.98;;3.3;3.4557235421166306;3.0;3.3;4.4;;0.8666666666666667;40.0;54.6;209.2;;;;3.3;;;;;;;;;0.0;;16.8;;1.2607;0.21899999999999997;;;;;
11/02/2021 09:31:00;11/02/2021;09:31:00;0.0;270;1007.4;0.0;0.0;3.9;0.98;;3.9;3.4557235421166306;3.6;3.9;4.4;;0.06666666666666667;40.0;54.6;209.2;;;;3.9;;;;;;;;;0.0;;16.8;;1.2575;0.21899999999999997;;;;;
11/02/2021 09:41:00;11/02/2021;09:41:00;1.7278617710583153;112.5;1007.6;0.0;0.0;4.7;0.98;;4.8;5.237580993520518;4.4;4.7;4.4;;0.0;40.0;54.6;209.2;;;;4.7;;;;;;;;;0.0;;16.8;;1.2536;0.21899999999999997;;;;;
11/02/2021 09:51:00;11/02/2021;09:51:00;0.8639308855291576;112.5;1007.7;0.0;0.0;4.4;0.98;;4.5;5.237580993520518;4.1;4.3;4.4;;0.0;40.0;54.6;209.2;;;;4.3;;;;;;;;;1.7278617710583153;;16.8;;1.2553;0.21899999999999997;;;;;
11/02/2021 10:01:00;11/02/2021;10:01:00;0.0;90;1007.9;0.0;0.0;4.4;0.98;;4.5;5.237580993520518;4.1;4.4;4.4;;0.0;40.0;54.6;209.2;;;;4.4;;;;;;;;;0.8639308855291576;;16.8;;1.2554;0.21899999999999997;;;;;
11/02/2021 10:10:00;11/02/2021;10:10:00;0.0;90;1008.0;0.0;0.0;4.2;0.97;;4.3;5.237580993520518;3.8;4.2;4.4;;0.0;40.0;54.6;209.2;;;;4.2;;;;;;;;;0.8639308855291576;;16.8;;1.2565;0.218;;;;;
