timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content
04/12/2020 12:21:00;04/12/2020;12:21:00;9.5;55.0;1001.3;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.9;;;;;;;;;;;;;;
04/12/2020 12:23:00;04/12/2020;12:23:00;9.5;56.0;1001.2;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.5;;;;;;;;;;;;;;
04/12/2020 12:24:00;04/12/2020;12:24:00;9.5;59.0;1001.2;0.0;0.0;6.7;0.87;;;12.2;4.7;;;;;;;;;;;3.5;;;;;;;;;;;;;;
04/12/2020 12:26:00;04/12/2020;12:26:00;9.5;56.0;1001.2;0.0;0.0;6.7;0.87;;;12.2;4.7;;;;;;;;;;;3.1;;;;;;;;;;;;;;
04/12/2020 12:28:00;04/12/2020;12:28:00;9.5;58.0;1001.2;0.0;0.0;6.7;0.87;;;12.2;4.7;;;;;;;;;;;3.5;;;;;;;;;;;;;;
04/12/2020 12:29:00;04/12/2020;12:29:00;9.5;55.0;1001.2;0.0;0.0;6.7;0.87;;;12.2;4.7;;;;;;;;;;;3.3;;;;;;;;;;;;;;
04/12/2020 12:33:00;04/12/2020;12:33:00;9.5;53.0;1001.3;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.7;;;;;;;;;;;;;;
04/12/2020 12:34:00;04/12/2020;12:34:00;10.5;64.0;1001.2;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;2.9;;;;;;;;;;;;;;
04/12/2020 12:37:00;04/12/2020;12:37:00;9.5;53.0;1001.3;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.3;;;;;;;;;;;;;;
04/12/2020 12:39:00;04/12/2020;12:39:00;9.5;59.0;1001.2;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;2.9;;;;;;;;;;;;;;
04/12/2020 12:41:00;04/12/2020;12:41:00;10.5;51.0;1001.2;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.6;;;;;;;;;;;;;;
04/12/2020 12:44:00;04/12/2020;12:44:00;10.5;57.0;1001.1;0.0;0.0;6.7;0.87;;;13.0;4.7;;;;;;;;;;;3.3;;;;;;;;;;;;;;
