timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 20:17:00;20/11/2020;20:17:00;15.6;338.0;1023.4;0.0;0.0;11.9;0.64;;;24.3;5.3;;;;;;;;;;;9.2;;;;;;;;;;;;
20/11/2020 20:18:00;20/11/2020;20:18:00;15.6;334.0;1023.4;0.0;0.0;11.9;0.65;;;24.3;5.5;;;;;;;;;;;8.8;;;;;;;;;;;;
20/11/2020 20:20:00;20/11/2020;20:20:00;15.6;306.0;1023.5;0.0;0.0;11.9;0.65;;;24.3;5.5;;;;;;;;;;;9.1;;;;;;;;;;;;
20/11/2020 20:21:00;20/11/2020;20:21:00;15.6;321.0;1023.5;0.0;0.0;11.9;0.65;;;20.0;5.5;;;;;;;;;;;9.7;;;;;;;;;;;;
20/11/2020 20:22:00;20/11/2020;20:22:00;15.6;321.0;1023.5;0.0;0.0;11.8;0.65;;;20.0;5.4;;;;;;;;;;;10.0;;;;;;;;;;;;
20/11/2020 20:23:00;20/11/2020;20:23:00;14.8;315.0;1023.6;0.0;0.0;11.8;0.67;;;19.1;5.9;;;;;;;;;;;9.3;;;;;;;;;;;;
20/11/2020 20:24:00;20/11/2020;20:24:00;14.8;305.0;1023.5;0.0;0.0;11.8;0.66;;;17.3;5.7;;;;;;;;;;;9.7;;;;;;;;;;;;
20/11/2020 20:25:00;20/11/2020;20:25:00;14.8;321.0;1023.5;0.0;0.0;11.8;0.65;;;24.3;5.4;;;;;;;;;;;8.8;;;;;;;;;;;;
20/11/2020 20:26:00;20/11/2020;20:26:00;14.8;315.0;1023.5;0.0;0.0;11.8;0.66;;;24.3;5.7;;;;;;;;;;;9.0;;;;;;;;;;;;
20/11/2020 20:27:00;20/11/2020;20:27:00;14.0;321.0;1023.6;0.0;0.0;11.8;0.65;;;24.3;5.4;;;;;;;;;;;9.6;;;;;;;;;;;;
20/11/2020 20:30:00;20/11/2020;20:30:00;14.0;311.0;1023.6;0.0;0.0;11.8;0.65;;;24.3;5.4;;;;;;;;;;;9.0;;;;;;;;;;;;
20/11/2020 20:31:00;20/11/2020;20:31:00;14.0;301.0;1023.6;0.0;0.0;11.8;0.65;;;18.3;5.4;;;;;;;;;;;9.2;;;;;;;;;;;;
20/11/2020 20:32:00;20/11/2020;20:32:00;14.0;327.0;1023.7;0.0;0.0;11.7;0.65;;;20.8;5.3;;;;;;;;;;;9.0;;;;;;;;;;;;
20/11/2020 20:33:00;20/11/2020;20:33:00;14.0;319.0;1023.7;0.0;0.0;11.7;0.65;;;20.8;5.3;;;;;;;;;;;9.1;;;;;;;;;;;;
20/11/2020 20:34:00;20/11/2020;20:34:00;14.8;315.0;1023.7;0.0;0.0;11.7;0.65;;;20.8;5.3;;;;;;;;;;;8.7;;;;;;;;;;;;
20/11/2020 20:35:00;20/11/2020;20:35:00;14.8;317.0;1023.8;0.0;0.0;11.8;0.65;;;20.8;5.4;;;;;;;;;;;9.6;;;;;;;;;;;;
20/11/2020 20:36:00;20/11/2020;20:36:00;14.8;318.0;1023.7;0.0;0.0;11.7;0.66;;;22.6;5.6;;;;;;;;;;;8.9;;;;;;;;;;;;
20/11/2020 20:37:00;20/11/2020;20:37:00;14.8;334.0;1023.8;0.0;0.0;11.7;0.65;;;22.6;5.3;;;;;;;;;;;9.1;;;;;;;;;;;;
20/11/2020 20:38:00;20/11/2020;20:38:00;14.8;323.0;1023.9;0.0;0.0;11.7;0.64;;;22.6;5.1;;;;;;;;;;;9.2;;;;;;;;;;;;
20/11/2020 20:39:00;20/11/2020;20:39:00;14.8;324.0;1023.9;0.0;0.0;11.7;0.65;;;22.6;5.3;;;;;;;;;;;9.1;;;;;;;;;;;;
20/11/2020 20:40:00;20/11/2020;20:40:00;14.8;322.0;1023.9;0.0;0.0;11.7;0.65;;;22.6;5.3;;;;;;;;;;;9.1;;;;;;;;;;;;
20/11/2020 20:41:00;20/11/2020;20:41:00;14.8;325.0;1024.0;0.0;0.0;11.7;0.65;;;20.8;5.3;;;;;;;;;;;9.4;;;;;;;;;;;;
